     V         Ical
  0.00   0.76052344
  0.01   0.75688835
  0.02   0.75325325
  0.03   0.74961814
  0.04   0.74598302
  0.05   0.74234788
  0.06   0.73871274
  0.07   0.73507757
  0.08   0.73144239
  0.09   0.72780718
  0.10   0.72417195
  0.11   0.72053669
  0.12   0.71690139
  0.13   0.71326606
  0.14   0.70963068
  0.15   0.70599524
  0.16   0.70235975
  0.17   0.69872418
  0.18   0.69508853
  0.19   0.69145278
  0.20   0.68781693
  0.21   0.68418094
  0.22   0.68054481
  0.23   0.67690851
  0.24   0.67327201
  0.25   0.66963528
  0.26   0.66599828
  0.27   0.66236098
  0.28   0.65872333
  0.29   0.65508527
  0.30   0.65144673
  0.31   0.64780764
  0.32   0.64416792
  0.33   0.64052746
  0.34   0.63688616
  0.35   0.63324387
  0.36   0.62960045
  0.37   0.62595571
  0.38   0.62230945
  0.39   0.61866143
  0.40   0.61501138
  0.41   0.61135897
  0.42   0.60770383
  0.43   0.60404555
  0.44   0.60038361
  0.45   0.59671746
  0.46   0.59304643
  0.47   0.58936976
  0.48   0.58568655
  0.49   0.58199579
  0.50   0.57829629
  0.51   0.57458667
  0.52   0.57086536
  0.53   0.56713052
  0.54   0.56338002
  0.55   0.55961141
  0.56   0.55582185
  0.57   0.55200805
  0.58   0.54816622
  0.59   0.54429194
  0.60   0.54038014
  0.61   0.53642493
  0.62   0.53241950
  0.63   0.52835597
  0.64   0.52422523
  0.65   0.52001675
  0.66   0.51571833
  0.67   0.51131586
  0.68   0.50679303
  0.69   0.50213096
  0.70   0.49730783
  0.71   0.49229838
  0.72   0.48707340
  0.73   0.48159911
  0.74   0.47583642
  0.75   0.46974015
  0.76   0.46325802
  0.77   0.45632957
  0.78   0.44888490
  0.79   0.44084315
  0.80   0.43211086
  0.81   0.42257992
  0.82   0.41212539
  0.83   0.40060281
  0.84   0.38784521
  0.85   0.37365963
  0.86   0.35782308
  0.87   0.34007794
  0.88   0.32012666
  0.89   0.29762559
  0.90   0.27217803
  0.91   0.24332611
  0.92   0.21054162
  0.93   0.17321543
  0.94   0.13064544
  0.95   0.08202286
  0.96   0.02641663
  0.97  -0.03724427
  0.98  -0.11019075
  0.99  -0.19383610
  1.00  -0.28980104
