     V         Ical
  0.00   0.76079999
  0.01   0.75079995
  0.02   0.74079990
  0.03   0.73079984
  0.04   0.72079978
  0.05   0.71079971
  0.06   0.70079963
  0.07   0.69079953
  0.08   0.68079943
  0.09   0.67079931
  0.10   0.66079918
  0.11   0.65079902
  0.12   0.64079885
  0.13   0.63079865
  0.14   0.62079843
  0.15   0.61079817
  0.16   0.60079788
  0.17   0.59079756
  0.18   0.58079718
  0.19   0.57079676
  0.20   0.56079628
  0.21   0.55079574
  0.22   0.54079513
  0.23   0.53079443
  0.24   0.52079363
  0.25   0.51079273
  0.26   0.50079171
  0.27   0.49079055
  0.28   0.48078924
  0.29   0.47078775
  0.30   0.46078605
  0.31   0.45078413
  0.32   0.44078196
  0.33   0.43077948
  0.34   0.42077668
  0.35   0.41077349
  0.36   0.40076988
  0.37   0.39076578
  0.38   0.38076113
  0.39   0.37075586
  0.40   0.36074987
  0.41   0.35074308
  0.42   0.34073537
  0.43   0.33072662
  0.44   0.32071670
  0.45   0.31070544
  0.46   0.30069266
  0.47   0.29067816
  0.48   0.28066171
  0.49   0.27064305
  0.50   0.26062187
  0.51   0.25059784
  0.52   0.24057058
  0.53   0.23053964
  0.54   0.22050454
  0.55   0.21046471
  0.56   0.20041952
  0.57   0.19036824
  0.58   0.18031006
  0.59   0.17024404
  0.60   0.16016913
  0.61   0.15008414
  0.62   0.13998770
  0.63   0.12987827
  0.64   0.11975411
  0.65   0.10961323
  0.66   0.09945338
  0.67   0.08927200
  0.68   0.07906620
  0.69   0.06883269
  0.70   0.05856773
  0.71   0.04826709
  0.72   0.03792597
  0.73   0.02753892
  0.74   0.01709975
  0.75   0.00660143
  0.76  -0.00396398
  0.77  -0.01460553
  0.78  -0.02533347
  0.79  -0.03615944
  0.80  -0.04709663
  0.81  -0.05816001
  0.82  -0.06936659
  0.83  -0.08073565
  0.84  -0.09228906
  0.85  -0.10405165
  0.86  -0.11605159
  0.87  -0.12832084
  0.88  -0.14089565
  0.89  -0.15381719
  0.90  -0.16713214
  0.91  -0.18089347
  0.92  -0.19516129
  0.93  -0.21000381
  0.94  -0.22549841
  0.95  -0.24173291
  0.96  -0.25880693
  0.97  -0.27683353
  0.98  -0.29594097
  0.99  -0.31627480
  1.00  -0.33800016
