     V         Ical
  0.00   0.76070871
  0.01   0.75910884
  0.02   0.75750896
  0.03   0.75590907
  0.04   0.75430916
  0.05   0.75270923
  0.06   0.75110927
  0.07   0.74950929
  0.08   0.74790928
  0.09   0.74630923
  0.10   0.74470913
  0.11   0.74310898
  0.12   0.74150877
  0.13   0.73990848
  0.14   0.73830810
  0.15   0.73670761
  0.16   0.73510699
  0.17   0.73350622
  0.18   0.73190526
  0.19   0.73030410
  0.20   0.72870268
  0.21   0.72710095
  0.22   0.72549886
  0.23   0.72389635
  0.24   0.72229333
  0.25   0.72068970
  0.26   0.71908536
  0.27   0.71748016
  0.28   0.71587395
  0.29   0.71426653
  0.30   0.71265769
  0.31   0.71104715
  0.32   0.70943459
  0.33   0.70781963
  0.34   0.70620182
  0.35   0.70458064
  0.36   0.70295543
  0.37   0.70132545
  0.38   0.69968980
  0.39   0.69804740
  0.40   0.69639701
  0.41   0.69473711
  0.42   0.69306590
  0.43   0.69138128
  0.44   0.68968072
  0.45   0.68796122
  0.46   0.68621922
  0.47   0.68445049
  0.48   0.68265001
  0.49   0.68081181
  0.50   0.67892880
  0.51   0.67699256
  0.52   0.67499308
  0.53   0.67291849
  0.54   0.67075464
  0.55   0.66848479
  0.56   0.66608900
  0.57   0.66354361
  0.58   0.66082050
  0.59   0.65788629
  0.60   0.65470130
  0.61   0.65121842
  0.62   0.64738170
  0.63   0.64312466
  0.64   0.63836836
  0.65   0.63301907
  0.66   0.62696544
  0.67   0.62007527
  0.68   0.61219159
  0.69   0.60312804
  0.70   0.59266336
  0.71   0.58053496
  0.72   0.56643117
  0.73   0.54998222
  0.74   0.53074940
  0.75   0.50821247
  0.76   0.48175460
  0.77   0.45064478
  0.78   0.41401704
  0.79   0.37084605
  0.80   0.31991864
  0.81   0.25980036
  0.82   0.18879666
  0.83   0.10490781
  0.84   0.00577687
  0.85  -0.11137011
  0.86  -0.24979219
  0.87  -0.41331061
  0.88  -0.60639498
  0.89  -0.83425848
  0.90  -1.10296136
  0.91  -1.41952104
  0.92  -1.79202601
  0.93  -2.22974945
  0.94  -2.74325630
  0.95  -3.34449579
  0.96  -4.04686900
  0.97  -4.86525904
  0.98  -5.81600983
  0.99  -6.91683880
  1.00  -8.18667028
