     V         Ical
  0.00   0.76073914
  0.01   0.75913922
  0.02   0.75753928
  0.03   0.75593934
  0.04   0.75433939
  0.05   0.75273943
  0.06   0.75113945
  0.07   0.74953946
  0.08   0.74793945
  0.09   0.74633941
  0.10   0.74473935
  0.11   0.74313926
  0.12   0.74153914
  0.13   0.73993897
  0.14   0.73833876
  0.15   0.73673850
  0.16   0.73513817
  0.17   0.73353778
  0.18   0.73193730
  0.19   0.73033673
  0.20   0.72873604
  0.21   0.72713523
  0.22   0.72553428
  0.23   0.72393315
  0.24   0.72233182
  0.25   0.72073027
  0.26   0.71912845
  0.27   0.71752633
  0.28   0.71592386
  0.29   0.71432097
  0.30   0.71271762
  0.31   0.71111372
  0.32   0.70950918
  0.33   0.70790392
  0.34   0.70629780
  0.35   0.70469071
  0.36   0.70308249
  0.37   0.70147295
  0.38   0.69986190
  0.39   0.69824910
  0.40   0.69663426
  0.41   0.69501708
  0.42   0.69339718
  0.43   0.69177414
  0.44   0.69014746
  0.45   0.68851658
  0.46   0.68688083
  0.47   0.68523945
  0.48   0.68359156
  0.49   0.68193613
  0.50   0.68027198
  0.51   0.67859775
  0.52   0.67691186
  0.53   0.67521246
  0.54   0.67349745
  0.55   0.67176437
  0.56   0.67001039
  0.57   0.66823223
  0.58   0.66642610
  0.59   0.66458760
  0.60   0.66271165
  0.61   0.66079239
  0.62   0.65882302
  0.63   0.65679566
  0.64   0.65470124
  0.65   0.65252921
  0.66   0.65026742
  0.67   0.64790176
  0.68   0.64541596
  0.69   0.64279116
  0.70   0.64000555
  0.71   0.63703391
  0.72   0.63384705
  0.73   0.63041122
  0.74   0.62668737
  0.75   0.62263032
  0.76   0.61818782
  0.77   0.61329941
  0.78   0.60789520
  0.79   0.60189429
  0.80   0.59520316
  0.81   0.58771361
  0.82   0.57930052
  0.83   0.56981920
  0.84   0.55910231
  0.85   0.54695635
  0.86   0.53315759
  0.87   0.51744738
  0.88   0.49952669
  0.89   0.47904989
  0.90   0.45561753
  0.91   0.42876803
  0.92   0.39796812
  0.93   0.36260184
  0.94   0.32195787
  0.95   0.27521505
  0.96   0.22142571
  0.97   0.15949660
  0.98   0.08816707
  0.99   0.00598421
  1.00  -0.08872547
