     V         Ical
  0.00   0.76080000
  0.01   0.75857770
  0.02   0.75635539
  0.03   0.75413305
  0.04   0.75191068
  0.05   0.74968829
  0.06   0.74746585
  0.07   0.74524336
  0.08   0.74302081
  0.09   0.74079818
  0.10   0.73857545
  0.11   0.73635261
  0.12   0.73412962
  0.13   0.73190645
  0.14   0.72968307
  0.15   0.72745940
  0.16   0.72523540
  0.17   0.72301099
  0.18   0.72078606
  0.19   0.71856049
  0.20   0.71633414
  0.21   0.71410683
  0.22   0.71187832
  0.23   0.70964834
  0.24   0.70741654
  0.25   0.70518249
  0.26   0.70294568
  0.27   0.70070544
  0.28   0.69846098
  0.29   0.69621131
  0.30   0.69395521
  0.31   0.69169116
  0.32   0.68941732
  0.33   0.68713138
  0.34   0.68483050
  0.35   0.68251119
  0.36   0.68016913
  0.37   0.67779898
  0.38   0.67539417
  0.39   0.67294656
  0.40   0.67044613
  0.41   0.66788050
  0.42   0.66523439
  0.43   0.66248894
  0.44   0.65962087
  0.45   0.65660143
  0.46   0.65339516
  0.47   0.64995827
  0.48   0.64623670
  0.49   0.64216376
  0.50   0.63765707
  0.51   0.63261501
  0.52   0.62691208
  0.53   0.62039343
  0.54   0.61286786
  0.55   0.60409940
  0.56   0.59379676
  0.57   0.58160041
  0.58   0.56706653
  0.59   0.54964729
  0.60   0.52866649
  0.61   0.50328943
  0.62   0.47248583
  0.63   0.43498391
  0.64   0.38921385
  0.65   0.33323796
  0.66   0.26466438
  0.67   0.18054074
  0.68   0.07722273
  0.69  -0.04978803
  0.70  -0.20604415
  0.71  -0.39839956
  0.72  -0.63531445
  0.73  -0.92723176
  0.74  -1.28704180
  0.75  -1.73065584
  0.76  -2.27771413
  0.77  -2.95245971
  0.78  -3.78481725
  0.79  -4.81172443
  0.80  -6.07877561
  0.81  -7.64225049
  0.82  -9.57161826
  0.83 -11.95262864
  0.84 -14.89112722
  0.85 -18.51776491
  0.86 -22.99381099
  0.87 -28.51832835
  0.88 -35.33703004
  0.89 -43.75321114
  0.90 -54.14124190
  0.91 -66.96322240
  0.92 -82.78953897
  0.93 -102.32423619
  0.94 -126.43633195
  0.95 -156.19846688
  0.96 -192.93460430
  0.97 -238.27889833
  0.98 -294.24834157
  0.99 -363.33241310
  1.00 -448.60369775
