     V         Ical
  0.00   0.76059256
  0.01   0.75695713
  0.02   0.75332168
  0.03   0.74968623
  0.04   0.74605075
  0.05   0.74241526
  0.06   0.73877974
  0.07   0.73514420
  0.08   0.73150862
  0.09   0.72787300
  0.10   0.72423734
  0.11   0.72060163
  0.12   0.71696585
  0.13   0.71333000
  0.14   0.70969405
  0.15   0.70605800
  0.16   0.70242181
  0.17   0.69878548
  0.18   0.69514896
  0.19   0.69151224
  0.20   0.68787525
  0.21   0.68423796
  0.22   0.68060031
  0.23   0.67696224
  0.24   0.67332365
  0.25   0.66968447
  0.26   0.66604456
  0.27   0.66240381
  0.28   0.65876204
  0.29   0.65511907
  0.30   0.65147467
  0.31   0.64782857
  0.32   0.64418046
  0.33   0.64052996
  0.34   0.63687661
  0.35   0.63321989
  0.36   0.62955915
  0.37   0.62589364
  0.38   0.62222247
  0.39   0.61854457
  0.40   0.61485868
  0.41   0.61116329
  0.42   0.60745663
  0.43   0.60373656
  0.44   0.60000058
  0.45   0.59624569
  0.46   0.59246834
  0.47   0.58866431
  0.48   0.58482858
  0.49   0.58095519
  0.50   0.57703707
  0.51   0.57306582
  0.52   0.56903144
  0.53   0.56492208
  0.54   0.56072364
  0.55   0.55641939
  0.56   0.55198944
  0.57   0.54741018
  0.58   0.54265355
  0.59   0.53768623
  0.60   0.53246864
  0.61   0.52695377
  0.62   0.52108578
  0.63   0.51479835
  0.64   0.50801273
  0.65   0.50063537
  0.66   0.49255520
  0.67   0.48364033
  0.68   0.47373415
  0.69   0.46265073
  0.70   0.45016938
  0.71   0.43602811
  0.72   0.41991604
  0.73   0.40146429
  0.74   0.38023527
  0.75   0.35571004
  0.76   0.32727334
  0.77   0.29419604
  0.78   0.25561439
  0.79   0.21050575
  0.80   0.15766011
  0.81   0.09564680
  0.82   0.02277576
  0.83  -0.06294742
  0.84  -0.16387342
  0.85  -0.28276878
  0.86  -0.42288387
  0.87  -0.58802977
  0.88  -0.78266425
  0.89  -1.01198681
  0.90  -1.28204195
  0.91  -1.59982912
  0.92  -1.97341653
  0.93  -2.41205469
  0.94  -2.92628357
  0.95  -3.52802536
  0.96  -4.23065242
  0.97  -5.04901813
  0.98  -5.99943658
  0.99  -7.09959650
  1.00  -8.36839610
