     V         Ical
  0.00   0.76073084
  0.01   0.75709473
  0.02   0.75345860
  0.03   0.74982246
  0.04   0.74618628
  0.05   0.74255007
  0.06   0.73891382
  0.07   0.73527752
  0.08   0.73164115
  0.09   0.72800471
  0.10   0.72436818
  0.11   0.72073152
  0.12   0.71709472
  0.13   0.71345774
  0.14   0.70982053
  0.15   0.70618306
  0.16   0.70254524
  0.17   0.69890700
  0.18   0.69526825
  0.19   0.69162887
  0.20   0.68798869
  0.21   0.68434755
  0.22   0.68070521
  0.23   0.67706139
  0.24   0.67341574
  0.25   0.66976785
  0.26   0.66611717
  0.27   0.66246306
  0.28   0.65880472
  0.29   0.65514115
  0.30   0.65147113
  0.31   0.64779314
  0.32   0.64410532
  0.33   0.64040536
  0.34   0.63669042
  0.35   0.63295700
  0.36   0.62920075
  0.37   0.62541633
  0.38   0.62159713
  0.39   0.61773502
  0.40   0.61381993
  0.41   0.60983945
  0.42   0.60577825
  0.43   0.60161743
  0.44   0.59733363
  0.45   0.59289804
  0.46   0.58827510
  0.47   0.58342090
  0.48   0.57828127
  0.49   0.57278932
  0.50   0.56686252
  0.51   0.56039898
  0.52   0.55327297
  0.53   0.54532931
  0.54   0.53637648
  0.55   0.52617816
  0.56   0.51444268
  0.57   0.50081016
  0.58   0.48483655
  0.59   0.46597402
  0.60   0.44354674
  0.61   0.41672112
  0.62   0.38446916
  0.63   0.34552333
  0.64   0.29832124
  0.65   0.24093758
  0.66   0.17100081
  0.67   0.08559110
  0.68  -0.01888424
  0.69  -0.14684260
  0.70  -0.30371049
  0.71  -0.49614658
  0.72  -0.73231035
  0.73  -1.02218352
  0.74  -1.37795172
  0.75  -1.81445348
  0.76  -2.34970157
  0.77  -3.00547913
  0.78  -3.80800675
  0.79  -4.78866853
  0.80  -5.98477181
  0.81  -7.44029807
  0.82  -9.20657999
  0.83 -11.34281387
  0.84 -13.91629045
  0.85 -17.00220691
  0.86 -20.68291695
  0.87 -25.04649577
  0.88 -30.18455167
  0.89 -36.18930935
  0.90 -43.15011347
  0.91 -51.14963119
  0.92 -60.26013470
  0.93 -70.54028220
  0.94 -82.03276923
  0.95 -94.76309435
  0.96 -108.73950906
  0.97 -123.95404612
  0.98 -140.38438729
  0.99 -157.99626460
  1.00 -176.74608758
