     V         Ical
  0.00   0.76052344
  0.01   0.75688832
  0.02   0.75325319
  0.03   0.74961803
  0.04   0.74598284
  0.05   0.74234762
  0.06   0.73871236
  0.07   0.73507705
  0.08   0.73144167
  0.09   0.72780622
  0.10   0.72417066
  0.11   0.72053499
  0.12   0.71689917
  0.13   0.71326317
  0.14   0.70962695
  0.15   0.70599045
  0.16   0.70235360
  0.17   0.69871634
  0.18   0.69507855
  0.19   0.69144012
  0.20   0.68780089
  0.21   0.68416069
  0.22   0.68051927
  0.23   0.67687636
  0.24   0.67323161
  0.25   0.66958459
  0.26   0.66593476
  0.27   0.66228146
  0.28   0.65862389
  0.29   0.65496104
  0.30   0.65129167
  0.31   0.64761426
  0.32   0.64392693
  0.33   0.64022735
  0.34   0.63651265
  0.35   0.63277929
  0.36   0.62902289
  0.37   0.62523807
  0.38   0.62141816
  0.39   0.61755495
  0.40   0.61363828
  0.41   0.60965565
  0.42   0.60559159
  0.43   0.60142704
  0.44   0.59713847
  0.45   0.59269682
  0.46   0.58806624
  0.47   0.58320251
  0.48   0.57805102
  0.49   0.57254441
  0.50   0.56659957
  0.51   0.56011393
  0.52   0.55296097
  0.53   0.54498460
  0.54   0.53599230
  0.55   0.52574665
  0.56   0.51395491
  0.57   0.50025619
  0.58   0.48420578
  0.59   0.46525582
  0.60   0.44273172
  0.61   0.41580324
  0.62   0.38344935
  0.63   0.34441538
  0.64   0.29716118
  0.65   0.23979851
  0.66   0.17001600
  0.67   0.08498975
  0.68  -0.01872221
  0.69  -0.14530323
  0.70  -0.29981971
  0.71  -0.48838125
  0.72  -0.71831686
  0.73  -0.99836244
  0.74  -1.33885067
  0.75  -1.75188937
  0.76  -2.25150815
  0.77  -2.85374654
  0.78  -3.57665112
  0.79  -4.44014567
  0.80  -5.46574110
  0.81  -6.67606141
  0.82  -8.09418231
  0.83  -9.74280697
  0.84 -11.64333650
  0.85 -13.81492197
  0.86 -16.27360097
  0.87 -19.03161878
  0.88 -22.09700904
  0.89 -25.47346883
  0.90 -29.16051765
  0.91 -33.15389189
  0.92 -37.44610250
  0.93 -42.02707780
  0.94 -46.88482091
  0.95 -52.00602788
  0.96 -57.37663196
  0.97 -62.98225677
  0.98 -68.80857524
  0.99 -74.84157991
  1.00 -81.06777579
