     V         Ical
  0.00   0.76075773
  0.01   0.75853556
  0.02   0.75631337
  0.03   0.75409115
  0.04   0.75186891
  0.05   0.74964664
  0.06   0.74742432
  0.07   0.74520195
  0.08   0.74297952
  0.09   0.74075702
  0.10   0.73853441
  0.11   0.73631169
  0.12   0.73408882
  0.13   0.73186578
  0.14   0.72964251
  0.15   0.72741896
  0.16   0.72519508
  0.17   0.72297078
  0.18   0.72074596
  0.19   0.71852051
  0.20   0.71629427
  0.21   0.71406706
  0.22   0.71183865
  0.23   0.70960876
  0.24   0.70737705
  0.25   0.70514309
  0.26   0.70290634
  0.27   0.70066616
  0.28   0.69842175
  0.29   0.69617210
  0.30   0.69391600
  0.31   0.69165194
  0.32   0.68937803
  0.33   0.68709199
  0.34   0.68479096
  0.35   0.68247144
  0.36   0.68012908
  0.37   0.67775855
  0.38   0.67535322
  0.39   0.67290497
  0.40   0.67040371
  0.41   0.66783703
  0.42   0.66518961
  0.43   0.66244252
  0.44   0.65957240
  0.45   0.65655042
  0.46   0.65334101
  0.47   0.64990024
  0.48   0.64617390
  0.49   0.64209508
  0.50   0.63758121
  0.51   0.63253034
  0.52   0.62681667
  0.53   0.62028496
  0.54   0.61274358
  0.55   0.60395606
  0.56   0.59363059
  0.57   0.58140709
  0.58   0.56684127
  0.59   0.54938497
  0.60   0.52836197
  0.61   0.50293821
  0.62   0.47208506
  0.63   0.43453427
  0.64   0.38872247
  0.65   0.33272319
  0.66   0.26416343
  0.67   0.18012155
  0.68   0.07700259
  0.69  -0.04961365
  0.70  -0.20515712
  0.71  -0.39629077
  0.72  -0.63117937
  0.73  -0.91981107
  0.74  -1.27437942
  0.75  -1.70973254
  0.76  -2.24389484
  0.77  -2.89866338
  0.78  -3.70027532
  0.79  -4.68013420
  0.80  -5.87556989
  0.81  -7.33058951
  0.82  -9.09655424
  0.83 -11.23269114
  0.84 -13.80632306
  0.85 -16.89267895
  0.86 -20.57414195
  0.87 -24.93881174
  0.88 -30.07831336
  0.89 -36.08487781
  0.90 -43.04784346
  0.91 -51.04985760
  0.92 -60.16315917
  0.93 -70.44636168
  0.94 -81.94210745
  0.95 -94.67583725
  0.96 -108.65574417
  0.97 -123.87380554
  0.98 -140.30765352
  0.99 -157.92297799
  1.00 -176.67615471
