     V         Ical
  0.00   0.76022982
  0.01   0.75023724
  0.02   0.74024464
  0.03   0.73025202
  0.04   0.72025937
  0.05   0.71026669
  0.06   0.70027396
  0.07   0.69028119
  0.08   0.68028835
  0.09   0.67029543
  0.10   0.66030242
  0.11   0.65030929
  0.12   0.64031601
  0.13   0.63032255
  0.14   0.62032887
  0.15   0.61033491
  0.16   0.60034062
  0.17   0.59034590
  0.18   0.58035066
  0.19   0.57035479
  0.20   0.56035813
  0.21   0.55036049
  0.22   0.54036165
  0.23   0.53036133
  0.24   0.52035919
  0.25   0.51035478
  0.26   0.50034758
  0.27   0.49033695
  0.28   0.48032207
  0.29   0.47030195
  0.30   0.46027537
  0.31   0.45024080
  0.32   0.44019639
  0.33   0.43013982
  0.34   0.42006825
  0.35   0.40997817
  0.36   0.39986523
  0.37   0.38972410
  0.38   0.37954817
  0.39   0.36932929
  0.40   0.35905740
  0.41   0.34872009
  0.42   0.33830204
  0.43   0.32778436
  0.44   0.31714371
  0.45   0.30635131
  0.46   0.29537162
  0.47   0.28416082
  0.48   0.27266480
  0.49   0.26081680
  0.50   0.24853447
  0.51   0.23571617
  0.52   0.22223652
  0.53   0.20794082
  0.54   0.19263828
  0.55   0.17609354
  0.56   0.15801637
  0.57   0.13804890
  0.58   0.11574998
  0.59   0.09057591
  0.60   0.06185688
  0.61   0.02876801
  0.62  -0.00970603
  0.63  -0.05481419
  0.64  -0.10809166
  0.65  -0.17142364
  0.66  -0.24712247
  0.67  -0.33802039
  0.68  -0.44758029
  0.69  -0.58002706
  0.70  -0.74050161
  0.71  -0.93523931
  0.72  -1.17177302
  0.73  -1.45915931
  0.74  -1.80822279
  0.75  -2.23180933
  0.76  -2.74503256
  0.77  -3.36549038
  0.78  -4.11341966
  0.79  -5.01174856
  0.80  -6.08600014
  0.81  -7.36400029
  0.82  -8.87535176
  0.83 -10.65065677
  0.84 -12.72050423
  0.85 -15.11427946
  0.86 -17.85889697
  0.87 -20.97758697
  0.88 -24.48887400
  0.89 -28.40586444
  0.90 -32.73591335
  0.91 -37.48068204
  0.92 -42.63654107
  0.93 -48.19523338
  0.94 -54.14469417
  0.95 -60.46992775
  0.96 -67.15385941
  0.97 -74.17810546
  0.98 -81.52362920
  0.99 -89.17127153
  1.00 -97.10215927
