     V         Ical
  0.00   0.76071547
  0.01   0.75849342
  0.02   0.75627135
  0.03   0.75404926
  0.04   0.75182714
  0.05   0.74960499
  0.06   0.74738280
  0.07   0.74516055
  0.08   0.74293824
  0.09   0.74071586
  0.10   0.73849338
  0.11   0.73627078
  0.12   0.73404803
  0.13   0.73182510
  0.14   0.72960195
  0.15   0.72737853
  0.16   0.72515476
  0.17   0.72293057
  0.18   0.72070587
  0.19   0.71848053
  0.20   0.71625440
  0.21   0.71402729
  0.22   0.71179898
  0.23   0.70956919
  0.24   0.70733757
  0.25   0.70510368
  0.26   0.70286701
  0.27   0.70062689
  0.28   0.69838252
  0.29   0.69613290
  0.30   0.69387680
  0.31   0.69161271
  0.32   0.68933875
  0.33   0.68705260
  0.34   0.68475142
  0.35   0.68243168
  0.36   0.68008903
  0.37   0.67771810
  0.38   0.67531227
  0.39   0.67286336
  0.40   0.67036127
  0.41   0.66779355
  0.42   0.66514480
  0.43   0.66239606
  0.44   0.65952389
  0.45   0.65649937
  0.46   0.65328680
  0.47   0.64984215
  0.48   0.64611102
  0.49   0.64202631
  0.50   0.63750522
  0.51   0.63244552
  0.52   0.62672109
  0.53   0.62017629
  0.54   0.61261906
  0.55   0.60381244
  0.56   0.59346410
  0.57   0.58121341
  0.58   0.56661561
  0.59   0.54912222
  0.60   0.52805704
  0.61   0.50258662
  0.62   0.47168405
  0.63   0.43408458
  0.64   0.38823136
  0.65   0.33220915
  0.66   0.26366371
  0.67   0.17970392
  0.68   0.07678361
  0.69  -0.04944053
  0.70  -0.20427861
  0.71  -0.39420844
  0.72  -0.62711093
  0.73  -0.91254241
  0.74  -1.26204393
  0.75  -1.68948485
  0.76  -2.21143275
  0.77  -2.84753466
  0.78  -3.62088509
  0.79  -4.55834452
  0.80  -5.69075882
  0.81  -7.05301752
  0.82  -8.68388026
  0.83 -10.62550159
  0.84 -12.92259873
  0.85 -15.62124077
  0.86 -18.76728969
  0.87 -22.40458797
  0.88 -26.57305043
  0.89 -31.30686053
  0.90 -36.63297815
  0.91 -42.57012838
  0.92 -49.12836822
  0.93 -56.30923764
  0.94 -64.10641853
  0.95 -72.50676797
  0.96 -81.49156938
  0.97 -91.03785321
  0.98 -101.11966798
  0.99 -111.70922052
  1.00 -122.77784098
