     V         Ical
  0.00   0.76070491
  0.01   0.75945500
  0.02   0.75820509
  0.03   0.75695516
  0.04   0.75570521
  0.05   0.75445524
  0.06   0.75320525
  0.07   0.75195524
  0.08   0.75070519
  0.09   0.74945510
  0.10   0.74820497
  0.11   0.74695478
  0.12   0.74570453
  0.13   0.74445420
  0.14   0.74320378
  0.15   0.74195325
  0.16   0.74070260
  0.17   0.73945179
  0.18   0.73820080
  0.19   0.73694959
  0.20   0.73569813
  0.21   0.73444636
  0.22   0.73319423
  0.23   0.73194167
  0.24   0.73068860
  0.25   0.72943493
  0.26   0.72818053
  0.27   0.72692528
  0.28   0.72566901
  0.29   0.72441154
  0.30   0.72315263
  0.31   0.72189202
  0.32   0.72062938
  0.33   0.71936434
  0.34   0.71809644
  0.35   0.71682514
  0.36   0.71554982
  0.37   0.71426970
  0.38   0.71298390
  0.39   0.71169134
  0.40   0.71039074
  0.41   0.70908061
  0.42   0.70775914
  0.43   0.70642421
  0.44   0.70507329
  0.45   0.70370336
  0.46   0.70231087
  0.47   0.70089156
  0.48   0.69944040
  0.49   0.69795140
  0.50   0.69641744
  0.51   0.69483008
  0.52   0.69317929
  0.53   0.69145313
  0.54   0.68963745
  0.55   0.68771543
  0.56   0.68566707
  0.57   0.68346864
  0.58   0.68109194
  0.59   0.67850349
  0.60   0.67566348
  0.61   0.67252469
  0.62   0.66903098
  0.63   0.66511572
  0.64   0.66069974
  0.65   0.65568907
  0.66   0.64997209
  0.67   0.64341631
  0.68   0.63586442
  0.69   0.62712969
  0.70   0.61699051
  0.71   0.60518391
  0.72   0.59139791
  0.73   0.57526248
  0.74   0.55633888
  0.75   0.53410705
  0.76   0.50795084
  0.77   0.47714063
  0.78   0.44081289
  0.79   0.39794637
  0.80   0.34733429
  0.81   0.28755205
  0.82   0.21691988
  0.83   0.13345987
  0.84   0.03484688
  0.85  -0.08164712
  0.86  -0.21921558
  0.87  -0.38158668
  0.88  -0.57309914
  0.89  -0.79878339
  0.90  -1.06444643
  0.91  -1.37675750
  0.92  -1.74333050
  0.93  -2.17279754
  0.94  -2.67486637
  0.95  -3.26035279
  0.96  -3.94117798
  0.97  -4.73031955
  0.98  -5.64170609
  0.99  -6.69004648
  1.00  -7.89058943
