     V         Ical
  0.00   0.76060984
  0.01   0.75061229
  0.02   0.74061473
  0.03   0.73061716
  0.04   0.72061958
  0.05   0.71062199
  0.06   0.70062439
  0.07   0.69062676
  0.08   0.68062912
  0.09   0.67063146
  0.10   0.66063377
  0.11   0.65063605
  0.12   0.64063830
  0.13   0.63064051
  0.14   0.62064267
  0.15   0.61064478
  0.16   0.60064683
  0.17   0.59064881
  0.18   0.58065070
  0.19   0.57065250
  0.20   0.56065419
  0.21   0.55065576
  0.22   0.54065718
  0.23   0.53065843
  0.24   0.52065948
  0.25   0.51066030
  0.26   0.50066086
  0.27   0.49066112
  0.28   0.48066103
  0.29   0.47066053
  0.30   0.46065956
  0.31   0.45065804
  0.32   0.44065590
  0.33   0.43065303
  0.34   0.42064931
  0.35   0.41064462
  0.36   0.40063880
  0.37   0.39063167
  0.38   0.38062304
  0.39   0.37061266
  0.40   0.36060025
  0.41   0.35058551
  0.42   0.34056807
  0.43   0.33054749
  0.44   0.32052330
  0.45   0.31049492
  0.46   0.30046169
  0.47   0.29042286
  0.48   0.28037755
  0.49   0.27032473
  0.50   0.26026323
  0.51   0.25019170
  0.52   0.24010855
  0.53   0.23001197
  0.54   0.21989983
  0.55   0.20976972
  0.56   0.19961880
  0.57   0.18944381
  0.58   0.17924098
  0.59   0.16900594
  0.60   0.15873362
  0.61   0.14841820
  0.62   0.13805290
  0.63   0.12762989
  0.64   0.11714014
  0.65   0.10657316
  0.66   0.09591684
  0.67   0.08515716
  0.68   0.07427792
  0.69   0.06326036
  0.70   0.05208277
  0.71   0.04072005
  0.72   0.02914317
  0.73   0.01731854
  0.74   0.00520729
  0.75  -0.00723554
  0.76  -0.02006195
  0.77  -0.03333209
  0.78  -0.04711556
  0.79  -0.06149287
  0.80  -0.07655712
  0.81  -0.09241603
  0.82  -0.10919419
  0.83  -0.12703571
  0.84  -0.14610728
  0.85  -0.16660168
  0.86  -0.18874187
  0.87  -0.21278572
  0.88  -0.23903144
  0.89  -0.26782384
  0.90  -0.29956165
  0.91  -0.33470588
  0.92  -0.37378950
  0.93  -0.41742858
  0.94  -0.46633521
  0.95  -0.52133232
  0.96  -0.58337076
  0.97  -0.65354901
  0.98  -0.73313579
  0.99  -0.82359607
  1.00  -0.92662092
