     V         Ical
  0.00   0.76073914
  0.01   0.75913922
  0.02   0.75753930
  0.03   0.75593937
  0.04   0.75433944
  0.05   0.75273949
  0.06   0.75113954
  0.07   0.74953957
  0.08   0.74793960
  0.09   0.74633961
  0.10   0.74473960
  0.11   0.74313957
  0.12   0.74153952
  0.13   0.73993945
  0.14   0.73833936
  0.15   0.73673923
  0.16   0.73513907
  0.17   0.73353887
  0.18   0.73193862
  0.19   0.73033832
  0.20   0.72873797
  0.21   0.72713755
  0.22   0.72553706
  0.23   0.72393649
  0.24   0.72233582
  0.25   0.72073504
  0.26   0.71913415
  0.27   0.71753311
  0.28   0.71593192
  0.29   0.71433055
  0.30   0.71272898
  0.31   0.71112718
  0.32   0.70952511
  0.33   0.70792276
  0.34   0.70632007
  0.35   0.70471700
  0.36   0.70311350
  0.37   0.70150951
  0.38   0.69990497
  0.39   0.69829980
  0.40   0.69669391
  0.41   0.69508722
  0.42   0.69347961
  0.43   0.69187095
  0.44   0.69026111
  0.45   0.68864993
  0.46   0.68703723
  0.47   0.68542280
  0.48   0.68380641
  0.49   0.68218780
  0.50   0.68056666
  0.51   0.67894266
  0.52   0.67731541
  0.53   0.67568447
  0.54   0.67404936
  0.55   0.67240949
  0.56   0.67076424
  0.57   0.66911288
  0.58   0.66745459
  0.59   0.66578843
  0.60   0.66411335
  0.61   0.66242814
  0.62   0.66073144
  0.63   0.65902170
  0.64   0.65729717
  0.65   0.65555586
  0.66   0.65379550
  0.67   0.65201353
  0.68   0.65020705
  0.69   0.64837274
  0.70   0.64650687
  0.71   0.64460519
  0.72   0.64266287
  0.73   0.64067444
  0.74   0.63863370
  0.75   0.63653359
  0.76   0.63436614
  0.77   0.63212227
  0.78   0.62979169
  0.79   0.62736274
  0.80   0.62482216
  0.81   0.62215493
  0.82   0.61934400
  0.83   0.61637004
  0.84   0.61321108
  0.85   0.60984223
  0.86   0.60623525
  0.87   0.60235808
  0.88   0.59817436
  0.89   0.59364283
  0.90   0.58871670
  0.91   0.58334286
  0.92   0.57746110
  0.93   0.57100307
  0.94   0.56389127
  0.95   0.55603777
  0.96   0.54734284
  0.97   0.53769335
  0.98   0.52696100
  0.99   0.51500027
  1.00   0.50164613
