     V         Ical
  0.00   0.76067322
  0.01   0.75845132
  0.02   0.75622940
  0.03   0.75400748
  0.04   0.75178555
  0.05   0.74956361
  0.06   0.74734165
  0.07   0.74511968
  0.08   0.74289768
  0.09   0.74067567
  0.10   0.73845363
  0.11   0.73623156
  0.12   0.73400945
  0.13   0.73178731
  0.14   0.72956512
  0.15   0.72734287
  0.16   0.72512057
  0.17   0.72289819
  0.18   0.72067573
  0.19   0.71845318
  0.20   0.71623051
  0.21   0.71400772
  0.22   0.71178478
  0.23   0.70956167
  0.24   0.70733836
  0.25   0.70511482
  0.26   0.70289102
  0.27   0.70066692
  0.28   0.69844246
  0.29   0.69621759
  0.30   0.69399224
  0.31   0.69176635
  0.32   0.68953983
  0.33   0.68731257
  0.34   0.68508446
  0.35   0.68285538
  0.36   0.68062515
  0.37   0.67839362
  0.38   0.67616056
  0.39   0.67392575
  0.40   0.67168890
  0.41   0.66944971
  0.42   0.66720778
  0.43   0.66496272
  0.44   0.66271400
  0.45   0.66046108
  0.46   0.65820327
  0.47   0.65593983
  0.48   0.65366986
  0.49   0.65139235
  0.50   0.64910610
  0.51   0.64680974
  0.52   0.64450170
  0.53   0.64218013
  0.54   0.63984292
  0.55   0.63748761
  0.56   0.63511136
  0.57   0.63271088
  0.58   0.63028238
  0.59   0.62782146
  0.60   0.62532303
  0.61   0.62278121
  0.62   0.62018918
  0.63   0.61753909
  0.64   0.61482180
  0.65   0.61202679
  0.66   0.60914187
  0.67   0.60615292
  0.68   0.60304362
  0.69   0.59979512
  0.70   0.59638556
  0.71   0.59278969
  0.72   0.58897829
  0.73   0.58491756
  0.74   0.58056840
  0.75   0.57588560
  0.76   0.57081685
  0.77   0.56530164
  0.78   0.55927001
  0.79   0.55264102
  0.80   0.54532109
  0.81   0.53720199
  0.82   0.52815857
  0.83   0.51804612
  0.84   0.50669736
  0.85   0.49391886
  0.86   0.47948709
  0.87   0.46314365
  0.88   0.44459001
  0.89   0.42348120
  0.90   0.39941877
  0.91   0.37194259
  0.92   0.34052142
  0.93   0.30454214
  0.94   0.26329739
  0.95   0.21597145
  0.96   0.16162409
  0.97   0.09917219
  0.98   0.02736888
  0.99  -0.05522017
  1.00  -0.15024341
