     V         Ical
  0.00   0.76063097
  0.01   0.75840918
  0.02   0.75618738
  0.03   0.75396556
  0.04   0.75174373
  0.05   0.74952188
  0.06   0.74730000
  0.07   0.74507810
  0.08   0.74285617
  0.09   0.74063420
  0.10   0.73841218
  0.11   0.73619011
  0.12   0.73396797
  0.13   0.73174576
  0.14   0.72952345
  0.15   0.72730104
  0.16   0.72507850
  0.17   0.72285581
  0.18   0.72063293
  0.19   0.71840984
  0.20   0.71618649
  0.21   0.71396284
  0.22   0.71173883
  0.23   0.70951439
  0.24   0.70728944
  0.25   0.70506388
  0.26   0.70283760
  0.27   0.70061047
  0.28   0.69838232
  0.29   0.69615297
  0.30   0.69392218
  0.31   0.69168969
  0.32   0.68945518
  0.33   0.68721826
  0.34   0.68497849
  0.35   0.68273533
  0.36   0.68048814
  0.37   0.67823617
  0.38   0.67597851
  0.39   0.67371409
  0.40   0.67144166
  0.41   0.66915969
  0.42   0.66686640
  0.43   0.66455966
  0.44   0.66223695
  0.45   0.65989525
  0.46   0.65753101
  0.47   0.65513998
  0.48   0.65271714
  0.49   0.65025649
  0.50   0.64775094
  0.51   0.64519205
  0.52   0.64256980
  0.53   0.63987227
  0.54   0.63708532
  0.55   0.63419215
  0.56   0.63117281
  0.57   0.62800358
  0.58   0.62465630
  0.59   0.62109753
  0.60   0.61728754
  0.61   0.61317914
  0.62   0.60871630
  0.63   0.60383245
  0.64   0.59844858
  0.65   0.59247081
  0.66   0.58578771
  0.67   0.57826698
  0.68   0.56975155
  0.69   0.56005496
  0.70   0.54895595
  0.71   0.53619196
  0.72   0.52145149
  0.73   0.50436509
  0.74   0.48449471
  0.75   0.46132113
  0.76   0.43422922
  0.77   0.40249050
  0.78   0.36524288
  0.79   0.32146679
  0.80   0.26995745
  0.81   0.20929262
  0.82   0.13779534
  0.83   0.05349101
  0.84  -0.04594162
  0.85  -0.16322604
  0.86  -0.30155036
  0.87  -0.46463662
  0.88  -0.65681644
  0.89  -0.88311211
  0.90  -1.14932144
  0.91  -1.46210333
  0.92  -1.82906026
  0.93  -2.25881188
  0.94  -2.76105262
  0.95  -3.34658440
  0.96  -4.02731426
  0.97  -4.81620605
  0.98  -5.72717557
  0.99  -6.77492066
  1.00  -7.97468155
